user_name,comment,replies,titles,urlis,times,company,polarity
Erynn Penuel,That was a brilliant marketing scheme by Bud Light!!!!,19,Error couldn't be retrieved,Error couldn't be retrieved,2023-04-21 22:27:24+00:00,BudLight,80
Mandy Blanchard,give Miller the Clydesdale!! bud doesn't deserve them!😂,23,#bud #budlight #budwesier ,https://m.tiktok.com/v/7223224033943227690.html?_d=egleckh145dhmb&comment_author_id=6737696957387932677&preview_pb=0&share_comment_id=7223399907330786094&share_item_id=7223224033943227690&sharer_language=en&source=h5_m&u_code=0,2023-04-18 14:41:14+00:00,BudLight,50
kenneth,I'm ok with Miller lite now..but thanks for the effort.,0,#bud #budlight #budwesier ,https://m.tiktok.com/v/7223224033943227690.html?_d=egleckh145dhmb&comment_author_id=7180147166685709355&preview_pb=0&share_comment_id=7223833760671859502&share_item_id=7223224033943227690&sharer_language=en&source=h5_m&u_code=0,2023-04-19 18:44:47+00:00,BudLight,20
user RCH21,Why isn't anyone blasting Nike or Jack Daniels?.😳,0,#bud #budlight #budwesier ,https://m.tiktok.com/v/7223224033943227690.html?_d=egleckh145dhmb&comment_author_id=6921444386883372038&preview_pb=0&share_comment_id=7223852903503577902&share_item_id=7223224033943227690&sharer_language=en&source=h5_m&u_code=0,2023-04-19 19:58:54+00:00,BudLight,0
Rudi,We could buy some advertising time through crowdfunding for this commercial...😏,0,#bud #budlight #budwesier ,https://m.tiktok.com/v/7223224033943227690.html?_d=egleckh145dhmb&comment_author_id=7153528057868108806&preview_pb=0&share_comment_id=7223432876443501318&share_item_id=7223224033943227690&sharer_language=en&source=h5_m&u_code=0,2023-04-18 16:49:01+00:00,BudLight,30
duckitdialogue,I drink coors stub bottles. I like the girth.,1,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6772661958644941830&preview_pb=0&share_comment_id=7223442141115269931&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 17:25:02+00:00,BudLight,10
jpalmcomedy,This guy is the future of comedy.,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6796915130644448262&preview_pb=0&share_comment_id=7223455646656496427&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 18:17:31+00:00,BudLight,70
Michael Corleone,Dude nice job I’d def come see you in my town your funny asf,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6802463841630192646&preview_pb=0&share_comment_id=7223248378220806958&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 04:53:11+00:00,BudLight,80
Travcutthroat,Love ya schaub! Keep Killin brotha buzzbuzz,0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=6775559836052849669&preview_pb=0&share_comment_id=7223456520884863787&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-18 18:20:59+00:00,BudLight,80
NonDragonGaming,"Best skit I’ve seen you do, keep working at it",0,#budlight is a little crazy huh? 😂 #fyp #standupcomedy #comedy ,https://m.tiktok.com/v/7223213788324023594.html?_d=egleckh145dhmb&comment_author_id=7001701340960523269&preview_pb=0&share_comment_id=7224298847807750955&share_item_id=7223213788324023594&sharer_language=en&source=h5_m&u_code=0,2023-04-21 00:49:31+00:00,BudLight,70
